fit	size	color	type	brand	fabric	texture	price	occasion	gender	geography	latino	age	income
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	18-24	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	latino	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	latino	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	latino	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	latino	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	latino	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	latino	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	latino	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	latino	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	latino	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	latino	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	latino	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white 	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	black	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	black	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	black	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	black	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	black	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	black	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	black	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	black	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	black	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	white	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	white	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	white	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	white	25-35	professional
skinny	medium	black	suit	h&m	wool	plain	low	formal	men	city	white	18-24	entry level
classic	medium	blue	suit	zara	wool	plain	low	formal	men	city	white	25-35	entry level
loose	small	grey	suit	ck	wool	plain	mid	formal	men	city	white	25-35	associate
skinny	large	black	suit	dior	wool	coated	high	formal	men	city	white 	25-35	professional
loose	large	blue	suit	tommy	cotton	plain	mid	casual	men	urban	white	25-35	professional
classic	medium	white	suit	lanvin	wool	printed	high	day wear	men	city	white	25-35	professional
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	latino	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	black	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	white	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	black	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	latino	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	black	25-35	associate
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	black	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	black	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	black	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	black	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	black	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	black	25-35	associate
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	black	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	black	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	latino	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	latino	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	latino	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	latino	25-35	associate
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	latino	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	latino	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	latino	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	latino	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	latino	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	white	25-35	associate
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	white	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	white	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	white	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	white	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	white	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	white	25-35	associate
loose	small	duo	sweater	tommy	wool	knitted	mid	casual	men	urban	white	25-35	associate
loose	medium	white	sweater	ck	wool	knitted	high	day wear	women	urban	white	25-35	professional
skinny	large	grey	sweater	dkny	polywool	knitted	high	day wear	women	city	white	35-45	professional
classic	small	red	sweater	h&m	acryllic	knitted	low	casual	women	urban	white	18-24	entry level
loose	large	blue	sweater	gant	wool	knitted	mid	day wear	men	city	white	25-35	professional
skinny	small	brown	sweater	zara	polywool	knitted	low	formal	men	city	white 	25-35	associate
